
# QPROP Version 1.22
# 
# CAM 9x6 folder, R=19mm yoke                                                     
# 
# Scorpion SII-3014, 129g, 38mm dia, 30A max, 5s max                              
#   0.42000E-01  Rmotor (Ohms)                  
#    1.0600      Io     (Amps)                  
#    830.00      Kv     (rpm/Volt)              
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#  10.000  0.1293E+05  0.000   14.27      0.2392       324.0      16.500   21.8550   0.8986   0.4405   0.06460  0.2369E-01  0.3475E-02  15.8421   0.3958   360.6       142.7       0.9816  0.2443E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0368  0.0204  31.598   1.3967  0.12933    70270  0.147   0.5257   0.7764   17.87       9.552      0.1229    
   0.0399  0.0218  27.322   1.3997  0.06772    81161  0.159   0.5021   0.8681   18.73       9.742      0.1287    
   0.0431  0.0219  25.609   1.3362  0.03465    88001  0.172   0.4982   0.9216   19.01       9.258      0.1297    
   0.0463  0.0213  25.192   1.3718  0.03797    91936  0.184   0.4875   0.9137   19.49       9.060      0.1325    
   0.0494  0.0207  24.803   1.3989  0.06665    95072  0.197   0.4796   0.8545   19.89       8.806      0.1347    
   0.0526  0.0202  23.759   1.3890  0.03716    98902  0.209   0.4750   0.9098   20.16       8.475      0.1360    
   0.0558  0.0199  22.291   1.3242  0.03113   103310  0.222   0.4765   0.9160   20.20       7.990      0.1356    
   0.0589  0.0197  20.713   1.2453  0.02605   107870  0.235   0.4801   0.9208   20.14       7.487      0.1346    
   0.0621  0.0194  19.327   1.1798  0.02324   112070  0.247   0.4830   0.9214   20.09       7.051      0.1337    
   0.0652  0.0190  18.221   1.1359  0.02202   115602  0.260   0.4841   0.9192   20.11       6.701      0.1334    
   0.0684  0.0186  17.279   1.1030  0.02130   118425  0.272   0.4846   0.9163   20.13       6.396      0.1333    
   0.0716  0.0181  16.403   1.0724  0.02060   120566  0.285   0.4857   0.9133   20.13       6.102      0.1330    
   0.0747  0.0175  15.555   1.0408  0.01990   122192  0.298   0.4874   0.9102   20.10       5.815      0.1325    
   0.0779  0.0170  14.703   1.0059  0.01924   123515  0.310   0.4900   0.9067   20.03       5.534      0.1318    
   0.0811  0.0165  13.841   0.9675  0.01864   124555  0.323   0.4933   0.9023   19.93       5.257      0.1310    
   0.0842  0.0159  13.000   0.9286  0.01816   124964  0.336   0.4972   0.8971   19.81       4.988      0.1299    
   0.0874  0.0153  12.212   0.8928  0.01783   124322  0.348   0.5016   0.8910   19.66       4.732      0.1288    
   0.0906  0.0145  11.493   0.8614  0.01767   122461  0.361   0.5060   0.8841   19.51       4.491      0.1277    
   0.0937  0.0137  10.834   0.8328  0.01763   119642  0.373   0.5102   0.8766   19.38       4.274      0.1266    
   0.0969  0.0129  10.225   0.8052  0.01767   116208  0.386   0.5133   0.8684   19.28       4.086      0.1258    
   0.1001  0.0120   9.653   0.7762  0.01777   112405  0.399   0.5148   0.8594   19.24       3.937      0.1255    
   0.1032  0.0110   9.082   0.7455  0.01808   106315  0.411   0.5165   0.8481   19.19       3.794      0.1251    
   0.1064  0.0095   8.460   0.7152  0.01893    94091  0.424   0.5231   0.8307   18.96       3.587      0.1235    
   0.1096  0.0071   7.784   0.6888  0.02096    72997  0.437   0.5380   0.8015   18.45       3.284      0.1201    
   0.1127  0.0043   7.212   0.6539  0.02545    45394  0.449   0.5416   0.7530   18.34       3.149      0.1193    
